listing_id,title,property_type,location,district,bedrooms,bathrooms,area_sqm,price_thb,description,status
L001,คอนโด ลุมพินี สุขุมวิท 77,condo,สุขุมวิท 77,พระโขนง,1,1,28,2500000,คอนโดใกล้ BTS อ่อนนุช ชั้น 15 วิวเมือง เฟอร์ครบ พร้อมอยู่,available
L002,บ้านเดี่ยว รังสิต คลอง 3,house,รังสิต คลอง 3,ธัญบุรี,3,2,150,3200000,บ้านเดี่ยว 2 ชั้น หมู่บ้านจัดสรร รั้วรอบขอบชิด ใกล้ฟิวเจอร์พาร์ครังสิต,available
L003,ทาวน์โฮม บางนา กม.5,townhouse,บางนา กม.5,บางนา,3,3,120,4500000,ทาวน์โฮม 3 ชั้น ตกแต่งใหม่ ใกล้เมกาบางนา จอดรถ 2 คัน,available
L004,คอนโด แอชตัน อโศก,condo,อโศก,วัฒนา,2,2,65,12000000,คอนโดหรู ติด BTS อโศก ชั้นสูง วิวสวน เฟอร์ครบ,available
L005,บ้านเดี่ยว พัฒนาการ,house,พัฒนาการ,สวนหลวง,4,3,250,8500000,บ้านเดี่ยว 2 ชั้น สวนสวย ที่จอดรถ 3 คัน ใกล้ทางด่วน,available
L006,คอนโด ไลฟ์ ลาดพร้าว,condo,ลาดพร้าว,จตุจักร,1,1,35,3800000,คอนโดใกล้ MRT ลาดพร้าว ชั้น 22 เฟอร์ครบ สระว่ายน้ำ,available
L007,ทาวน์โฮม ศรีนครินทร์,townhouse,ศรีนครินทร์,ประเวศ,3,2,110,3900000,ทาวน์โฮม 2 ชั้น ใกล้ซีคอนสแควร์ พื้นที่ใช้สอยกว้าง,available
L008,บ้านเดี่ยว เมืองทองธานี,house,เมืองทองธานี,ปากเกร็ด,4,4,300,15000000,บ้านเดี่ยวหรู สระว่ายน้ำส่วนตัว สนามหญ้า ใกล้อิมแพ็ค,available
L009,คอนโด วิสซ์ดอม 101,condo,ปุณณวิถี,วัฒนา,2,1,52,7500000,คอนโดใกล้ BTS ปุณณวิถี ชั้น 30 วิวแม่น้ำ,available
L010,ที่ดินเปล่า วังน้อย,land,วังน้อย,อยุธยา,0,0,400,2000000,ที่ดินเปล่า ถมแล้ว ติดถนน ใกล้นิคมอุตสาหกรรม,available
