id,name,category,price_thb,description,available
1,ข้าวผัดกุ้ง,อาหารจานเดียว,89,ข้าวผัดกุ้งสด ไข่ดาว ผักสด,true
2,ผัดไทยกุ้งสด,อาหารจานเดียว,99,ผัดไทยกุ้งสด ถั่วงอก ใบกุยช่าย,true
3,ต้มยำกุ้ง,ซุป,159,ต้มยำกุ้งน้ำข้น กุ้งสด เห็ด,true
4,ส้มตำไทย,สลัด,59,ส้มตำไทย ถั่วลิสง กุ้งแห้ง,true
5,ไก่ทอดหาดใหญ่,ของทอด,79,ไก่ทอดหาดใหญ่ กรอบนอกนุ่มใน,true
6,แกงเขียวหวานไก่,แกง,89,แกงเขียวหวานไก่ มะเขือ พริก,true
7,ข้าวมันไก่,อาหารจานเดียว,69,ข้าวมันไก่ น้ำจิ้ม ซุปใส,true
8,หมูสะเต๊ะ,เรียกน้ำย่อย,89,หมูสะเต๊ะ 10 ไม้ น้ำจิ้มถั่ว,true
9,ชาไทย,เครื่องดื่ม,45,ชาไทยเย็น หวานมัน,true
10,น้ำมะนาว,เครื่องดื่ม,39,น้ำมะนาวสด เย็นชื่นใจ,true
